H_ct,H_c,H_q,H_eta,L_eta,obj_disper,obj_iles
-3.05684,8.0,5.0,0.2062,0.3086,-0.0021938206275426975,-0.020566415626318557
-0.92297,17.0,3.0,0.3403,0.2913,-0.0037809539419585425,0.0318049035449135
-1.96625,6.0,5.0,0.2942,0.2092,-0.0020595984319681238,-0.04262724520035999
-3.87819,15.0,2.0,0.3601,0.3919,-0.005226234883416336,0.002653584601170156
-3.32215,2.0,3.0,0.3791,0.3638,-0.003813134375974747,-0.03828691362023551
-1.6562,11.0,4.0,0.2634,0.2372,-0.0017178782382567537,-0.059583584779892895
-0.83481,9.0,2.0,0.3204,0.2633,-0.0031831196353271363,-0.015195220586660563
-2.27889,18.0,6.0,0.2362,0.3367,-0.001165415812189985,-0.0678954630416142
-2.47238,4.0,1.0,0.2503,0.2873,-0.0009737045222270035,-0.045481065633890205
-0.64129,13.0,6.0,0.3908,0.3138,-0.004341627007860671,-0.03022760536513125
-1.46436,6.0,3.0,0.2494,0.3867,-0.0021991163546215553,-0.015785137592320808
-3.51394,16.0,4.0,0.3089,0.2133,0.0007067215135789784,-0.01033604125083587
